□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□Temp: 29.20 C | Humidity: 56.30 % | Light: 733
Temp: 29.20 C | Humidity: 57.80 % | Light: 653
Temp: 29.20 C | Humidity: 57.30 % | Light: 651
Temp: 29.20 C | Humidity: 57.30 % | Light: 659
Temp: 29.20 C | Humidity: 57.30 % | Light: 648
Temp: 29.20 C | Humidity: 57.20 % | Light: 747
Temp: 29.20 C | Humidity: 58.30 % | Light: 743
Temp: 29.20 C | Humidity: 57.60 % | Light: 725
Temp: 29.20 C | Humidity: 58.80 % | Light: 735
Temp: 29.20 C | Humidity: 58.60 % | Light: 747
Temp: 29.20 C | Humidity: 58.00 % | Light: 743
Temp: 29.20 C | Humidity: 57.90 % | Light: 744
Temp: 29.20 C | Humidity: 58.00 % | Light: 746
Temp: 29.20 C | Humidity: 58.30 % | Light: 735
Temp: 29.20 C | Humidity: 58.40 % | Light: 735
Temp: 29.20 C | Humidity: 59.40 % | Light: 735
Temp: 29.20 C | Humidity: 59.10 % | Light: 734
Temp: 29.20 C | Humidity: 58.90 % | Light: 736
Temp: 29.20 C | Humidity: 58.80 % | Light: 726
Temp: 29.20 C | Humidity: 58.40 % | Light: 731
Temp: 29.20 C | Humidity: 57.80 % | Light: 731
Temp: 29.20 C | Humidity: 57.30 % | Light: 726
Temp: 29.20 C | Humidity: 57.00 % | Light: 744
Temp: 29.20 C | Humidity: 56.70 % | Light: 748
Temp: 29.20 C | Humidity: 56.50 % | Light: 740
Temp: 29.20 C | Humidity: 56.40 % | Light: 739
Temp: 29.20 C | Humidity: 56.30 % | Light: 723
Temp: 29.20 C | Humidity: 56.20 % | Light: 722
Temp: 29.20 C | Humidity: 56.20 % | Light: 727
Temp: 29.20 C | Humidity: 56.10 % | Light: 725
Temp: 29.20 C | Humidity: 56.00 % | Light: 716
Temp: 29.20 C | Humidity: 56.10 % | Light: 713
Temp: 29.20 C | Humidity: 56.10 % | Light: 728
Temp: 29.20 C | Humidity: 56.10 % | Light: 727
Temp: 29.20 C | Humidity: 56.00 % | Light: 695
Temp: 29.20 C | Humidity: 55.90 % | Light: 688
Temp: 29.20 C | Humidity: 56.00 % | Light: 705
Temp: 29.20 C | Humidity: 56.00 % | Light: 754
Temp: 29.20 C | Humidity: 56.30 % | Light: 749
Temp: 29.20 C | Humidity: 55.90 % | Light: 749
Temp: 29.20 C | Humidity: 56.10 % | Light: 764
Temp: 29.20 C | Humidity: 56.40 % | Light: 768
Temp: 29.20 C | Humidity: 56.30 % | Light: 757
Temp: 29.20 C | Humidity: 55.90 % | Light: 735
Temp: 29.20 C | Humidity: 55.90 % | Light: 722
Temp: 29.20 C | Humidity: 56.10 % | Light: 698
Temp: 29.20 C | Humidity: 56.00 % | Light: 719
Temp: 29.20 C | Humidity: 56.20 % | Light: 719
Temp: 29.20 C | Humidity: 56.50 % | Light: 732
Temp: 29.20 C | Humidity: 56.60 % | Light: 725
Temp: 29.20 C | Humidity: 56.40 % | Light: 703
Temp: 29.20 C | Humidity: 56.30 % | Light: 528
Temp: 29.20 C | Humidity: 56.30 % | Light: 720
Temp: 29.20 C | Humidity: 56.10 % | Light: 732
Temp: 29.20 C | Humidity: 56.00 % | Light: 735
Temp: 29.20 C | Humidity: 55.50 % | Light: 729
Temp: 29.20 C | Humidity: 55.40 % | Light: 732
Temp: 29.20 C | Humidity: 55.50 % | Light: 730
Temp: 29.20 C | Humidity: 55.50 % | Light: 741
Temp: 29.20 C | Humidity: 56.00 % | Light: 743
Temp: 29.20 C | Humidity: 56.10 % | Light: 735
Temp: 29.20 C | Humidity: 55.80 % | Light: 729
Temp: 29.20 C | Humidity: 55.70 % | Light: 720
Temp: 29.20 C | Humidity: 55.50 % | Light: 725
Temp: 29.20 C | Humidity: 55.40 % | Light: 702
Temp: 29.20 C | Humidity: 55.40 % | Light: 634
Temp: 29.20 C | Humidity: 55.50 % | Light: 822
Temp: 29.20 C | Humidity: 55.60 % | Light: 820
Temp: 29.20 C | Humidity: 55.50 % | Light: 896
Temp: 29.20 C | Humidity: 55.50 % | Light: 900
Temp: 29.20 C | Humidity: 55.50 % | Light: 949
Temp: 29.20 C | Humidity: 55.30 % | Light: 949
Temp: 29.20 C | Humidity: 55.30 % | Light: 947
Temp: 29.20 C | Humidity: 55.50 % | Light: 950
Temp: 29.20 C | Humidity: 55.40 % | Light: 963
Temp: 29.20 C | Humidity: 55.30 % | Light: 976
Temp: 29.20 C | Humidity: 55.30 % | Light: 976
Temp: 29.20 C | Humidity: 55.60 % | Light: 975
Temp: 29.20 C | Humidity: 55.50 % | Light: 971
Temp: 29.20 C | Humidity: 56.20 % | Light: 969
Temp: 29.20 C | Humidity: 57.10 % | Light: 970
Temp: 29.20 C | Humidity: 57.40 % | Light: 966
Temp: 29.20 C | Humidity: 57.30 % | Light: 944
Temp: 29.20 C | Humidity: 57.20 % | Light: 952
Temp: 29.20 C | Humidity: 57.00 % | Light: 928
Temp: 29.20 C | Humidity: 56.70 % | Light: 749
Temp: 29.20 C | Humidity: 56.40 % | Light: 721
Temp: 29.20 C | Humidity: 55.80 % | Light: 748
Temp: 29.20 C | Humidity: 55.60 % | Light: 751
Temp: 29.20 C | Humidity: 55.50 % | Light: 762
Temp: 29.20 C | Humidity: 55.50 % | Light: 742
Temp: 29.20 C | Humidity: 55.40 % | Light: 745
Temp: 29.20 C | Humidity: 55.40 % | Light: 757
Temp: 29.20 C | Humidity: 55.40 % | Light: 739
Temp: 29.20 C | Humidity: 55.40 % | Light: 744
Temp: 29.20 C | Humidity: 55.70 % | Light: 759
Temp: 29.20 C | Humidity: 56.30 % | Light: 729
Temp: 29.20 C | Humidity: 56.00 % | Light: 739
Temp: 29.20 C | Humidity: 56.00 % | Light: 737
Temp: 29.20 C | Humidity: 55.70 % | Light: 731
Temp: 29.20 C | Humidity: 55.50 % | Light: 732
Temp: 29.20 C | Humidity: 55.60 % | Light: 763
Temp: 29.20 C | Humidity: 55.60 % | Light: 760
Temp: 29.20 C | Humidity: 55.70 % | Light: 766
Temp: 29.20 C | Humidity: 55.80 % | Light: 766
Temp: 29.20 C | Humidity: 55.70 % | Light: 738
Temp: 29.20 C | Humidity: 55.80 % | Light: 761
Temp: 29.20 C | Humidity: 55.80 % | Light: 755
Temp: 29.20 C | Humidity: 55.70 % | Light: 744
Temp: 29.20 C | Humidity: 55.60 % | Light: 761
Temp: 29.20 C | Humidity: 55.60 % | Light: 765
Temp: 29.20 C | Humidity: 55.60 % | Light: 769
Temp: 29.20 C | Humidity: 55.60 % | Light: 718
Temp: 29.20 C | Humidity: 55.60 % | Light: 722
Temp: 29.20 C | Humidity: 55.70 % | Light: 718
Temp: 29.10 C | Humidity: 56.10 % | Light: 708
Temp: 29.10 C | Humidity: 56.30 % | Light: 703
Temp: 29.10 C | Humidity: 56.30 % | Light: 711
Temp: 29.10 C | Humidity: 56.20 % | Light: 663
Temp: 29.10 C | Humidity: 56.20 % | Light: 661
Temp: 29.10 C | Humidity: 57.70 % | Light: 664
Temp: 29.10 C | Humidity: 58.50 % | Light: 666
Temp: 29.10 C | Humidity: 58.30 % | Light: 675
Temp: 29.10 C | Humidity: 57.90 % | Light: 676
Temp: 29.10 C | Humidity: 58.30 % | Light: 673
Temp: 29.10 C | Humidity: 58.50 % | Light: 668
Temp: 29.10 C | Humidity: 58.50 % | Light: 671
Temp: 29.10 C | Humidity: 58.00 % | Light: 669
Temp: 29.10 C | Humidity: 58.00 % | Light: 668
Temp: 29.20 C | Humidity: 57.10 % | Light: 666
Temp: 29.10 C | Humidity: 56.60 % | Light: 661
Temp: 29.10 C | Humidity: 59.50 % | Light: 658
Temp: 29.20 C | Humidity: 60.50 % | Light: 659
Temp: 29.10 C | Humidity: 58.70 % | Light: 665
Temp: 29.10 C | Humidity: 59.00 % | Light: 663
Temp: 29.10 C | Humidity: 58.90 % | Light: 669
Temp: 29.10 C | Humidity: 58.90 % | Light: 650
Temp: 29.10 C | Humidity: 58.10 % | Light: 650
Temp: 29.10 C | Humidity: 58.40 % | Light: 649
Temp: 29.10 C | Humidity: 59.30 % | Light: 648
Temp: 29.10 C | Humidity: 58.30 % | Light: 640
Temp: 29.10 C | Humidity: 58.50 % | Light: 639
Temp: 29.10 C | Humidity: 59.30 % | Light: 642
Temp: 29.20 C | Humidity: 60.40 % | Light: 645
Temp: 29.20 C | Humidity: 60.20 % | Light: 645
Temp: 29.20 C | Humidity: 61.40 % | Light: 645
Temp: 29.20 C | Humidity: 62.00 % | Light: 703
Temp: 29.20 C | Humidity: 61.10 % | Light: 680
Temp: 29.20 C | Humidity: 60.00 % | Light: 658
Temp: 29.20 C | Humidity: 58.50 % | Light: 663
Temp: 29.20 C | Humidity: 58.00 % | Light: 662
Temp: 29.20 C | Humidity: 58.90 % | Light: 662
Temp: 29.20 C | Humidity: 58.80 % | Light: 663
Temp: 29.20 C | Humidity: 57.70 % | Light: 664
Temp: 29.20 C | Humidity: 57.20 % | Light: 665
Temp: 29.20 C | Humidity: 57.90 % | Light: 666
Temp: 29.20 C | Humidity: 58.00 % | Light: 668
Temp: 29.20 C | Humidity: 57.90 % | Light: 661
Temp: 29.20 C | Humidity: 59.40 % | Light: 670
Temp: 29.20 C | Humidity: 58.60 % | Light: 667
Temp: 29.20 C | Humidity: 58.10 % | Light: 671
Temp: 29.20 C | Humidity: 58.10 % | Light: 649
Temp: 29.20 C | Humidity: 57.60 % | Light: 657
Temp: 29.20 C | Humidity: 57.40 % | Light: 655
Temp: 29.20 C | Humidity: 57.50 % | Light: 658
Temp: 29.20 C | Humidity: 57.60 % | Light: 660
Temp: 29.20 C | Humidity: 57.00 % | Light: 663
Temp: 29.20 C | Humidity: 56.80 % | Light: 653
Temp: 29.20 C | Humidity: 56.70 % | Light: 651
Temp: 29.20 C | Humidity: 56.80 % | Light: 648
Temp: 29.20 C | Humidity: 56.60 % | Light: 647
Temp: 29.20 C | Humidity: 56.50 % | Light: 645
Temp: 29.20 C | Humidity: 56.60 % | Light: 664
Temp: 29.20 C | Humidity: 56.10 % | Light: 662
Temp: 29.20 C | Humidity: 56.10 % | Light: 664
Temp: 29.20 C | Humidity: 56.80 % | Light: 647
Temp: 29.20 C | Humidity: 56.80 % | Light: 661
Temp: 29.20 C | Humidity: 57.80 % | Light: 707
Temp: 29.20 C | Humidity: 57.70 % | Light: 738
Temp: 29.20 C | Humidity: 57.40 % | Light: 723
Temp: 29.20 C | Humidity: 57.00 % | Light: 691
Temp: 29.20 C | Humidity: 56.20 % | Light: 684
Temp: 29.20 C | Humidity: 55.90 % | Light: 675
Temp: 29.20 C | Humidity: 55.60 % | Light: 670
Temp: 29.20 C | Humidity: 55.90 % | Light: 670
Temp: 29.20 C | Humidity: 55.80 % | Light: 671
Temp: 29.20 C | Humidity: 55.80 % | Light: 682
Temp: 29.20 C | Humidity: 56.10 % | Light: 685
Temp: 29.20 C | Humidity: 56.30 % | Light: 676
Temp: 29.20 C | Humidity: 56.10 % | Light: 701
Temp: 29.20 C | Humidity: 55.70 % | Light: 704
Temp: 29.20 C | Humidity: 55.60 % | Light: 748
Temp: 29.20 C | Humidity: 55.40 % | Light: 722
Temp: 29.20 C | Humidity: 55.10 % | Light: 743
Temp: 29.20 C | Humidity: 55.10 % | Light: 747
Temp: 29.20 C | Humidity: 55.10 % | Light: 744
Temp: 29.20 C | Humidity: 55.20 % | Light: 745
Temp: 29.20 C | Humidity: 55.10 % | Light: 747
Temp: 29.20 C | Humidity: 55.00 % | Light: 742
Temp: 29.20 C | Humidity: 55.10 % | Light: 745
Temp: 29.20 C | Humidity: 55.20 % | Light: 704
Temp: 29.20 C | Humidity: 55.40 % | Light: 248
Temp: 29.20 C | Humidity: 55.70 % | Light: 254
Temp: 29.20 C | Humidity: 55.80 % | Light: 249
Temp: 29.20 C | Humidity: 55.70 % | Light: 747
Temp: 29.20 C | Humidity: 71.10 % | Light: 745
Temp: 29.30 C | Humidity: 79.50 % | Light: 746
Temp: 29.40 C | Humidity: 77.90 % | Light: 743
Temp: 29.50 C | Humidity: 85.00 % | Light: 745
Temp: 29.60 C | Humidity: 91.90 % | Light: 759
Temp: 29.70 C | Humidity: 89.30 % | Light: 769
Temp: 30.00 C | Humidity: 99.90 % | Light: 772
Temp: 30.10 C | Humidity: 99.90 % | Light: 770
Temp: 30.30 C | Humidity: 99.90 % | Light: 766
Temp: 30.50 C | Humidity: 99.90 % | Light: 767
Temp: 30.70 C | Humidity: 99.90 % | Light: 748
Temp: 30.80 C | Humidity: 99.90 % | Light: 727
Temp: 30.90 C | Humidity: 99.90 % | Light: 691
Temp: 30.80 C | Humidity: 92.90 % | Light: 692
Temp: 30.90 C | Humidity: 75.00 % | Light: 695
Temp: 30.90 C | Humidity: 67.00 % | Light: 678
Temp: 30.90 C | Humidity: 61.30 % | Light: 668
Temp: 31.00 C | Humidity: 59.40 % | Light: 664
Temp: 31.00 C | Humidity: 58.00 % | Light: 670
Temp: 31.00 C | Humidity: 57.30 % | Light: 684
Temp: 31.00 C | Humidity: 56.40 % | Light: 682
Temp: 31.10 C | Humidity: 56.10 % | Light: 658
Temp: 31.10 C | Humidity: 55.60 % | Light: 668
Temp: 31.10 C | Humidity: 55.20 % | Light: 678
Temp: 31.10 C | Humidity: 54.90 % | Light: 685
Temp: 31.10 C | Humidity: 54.40 % | Light: 668
Temp: 31.10 C | Humidity: 54.10 % | Light: 641
Temp: 31.10 C | Humidity: 53.90 % | Light: 642
Temp: 31.10 C | Humidity: 53.90 % | Light: 646
Temp: 31.10 C | Humidity: 53.90 % | Light: 656
Temp: 31.10 C | Humidity: 53.80 % | Light: 649
Temp: 31.10 C | Humidity: 53.50 % | Light: 648
Temp: 31.10 C | Humidity: 53.50 % | Light: 650
Temp: 31.10 C | Humidity: 53.70 % | Light: 649
Temp: 31.00 C | Humidity: 53.90 % | Light: 659
Temp: 31.00 C | Humidity: 53.70 % | Light: 665
Temp: 31.00 C | Humidity: 53.40 % | Light: 654
Temp: 31.00 C | Humidity: 53.30 % | Light: 651
Temp: 31.00 C | Humidity: 53.20 % | Light: 647
Temp: 31.00 C | Humidity: 53.20 % | Light: 650
Temp: 31.00 C | Humidity: 53.30 % | Light: 656
Temp: 30.90 C | Humidity: 53.30 % | Light: 652
Temp: 30.90 C | Humidity: 53.90 % | Light: 648
Temp: 30.90 C | Humidity: 53.70 % | Light: 647
Temp: 30.90 C | Humidity: 53.60 % | Light: 648
Temp: 30.90 C | Humidity: 53.70 % | Light: 646
Temp: 30.90 C | Humidity: 53.70 % | Light: 642
Temp: 30.80 C | Humidity: 53.50 % | Light: 647
Temp: 30.80 C | Humidity: 54.40 % | Light: 649
Temp: 30.80 C | Humidity: 54.40 % | Light: 651
Temp: 30.80 C | Humidity: 54.20 % | Light: 651
Temp: 30.80 C | Humidity: 54.10 % | Light: 654
Temp: 30.80 C | Humidity: 54.00 % | Light: 645
Temp: 30.70 C | Humidity: 54.00 % | Light: 653
Temp: 30.70 C | Humidity: 53.70 % | Light: 651
Temp: 30.70 C | Humidity: 53.70 % | Light: 653
Temp: 30.70 C | Humidity: 53.70 % | Light: 665
Temp: 30.70 C | Humidity: 53.70 % | Light: 662
Temp: 30.60 C | Humidity: 53.70 % | Light: 662
Temp: 30.60 C | Humidity: 53.70 % | Light: 663
Temp: 30.60 C | Humidity: 53.50 % | Light: 680
Temp: 30.60 C | Humidity: 53.50 % | Light: 691
Temp: 30.60 C | Humidity: 53.90 % | Light: 694
Temp: 30.60 C | Humidity: 53.70 % | Light: 679
Temp: 30.50 C | Humidity: 53.70 % | Light: 669
Temp: 30.50 C | Humidity: 53.90 % | Light: 670
Temp: 30.50 C | Humidity: 53.70 % | Light: 669
Temp: 30.50 C | Humidity: 54.10 % | Light: 673
Temp: 30.50 C | Humidity: 53.90 % | Light: 672
Temp: 30.40 C | Humidity: 53.80 % | Light: 673
Temp: 30.40 C | Humidity: 54.00 % | Light: 671
Temp: 30.40 C | Humidity: 53.90 % | Light: 670
Temp: 30.40 C | Humidity: 53.70 % | Light: 671
Temp: 30.40 C | Humidity: 53.70 % | Light: 670
Temp: 30.40 C | Humidity: 53.70 % | Light: 684
Temp: 30.30 C | Humidity: 53.70 % | Light: 669
Temp: 30.30 C | Humidity: 53.50 % | Light: 674
Temp: 30.30 C | Humidity: 53.30 % | Light: 675
Temp: 30.30 C | Humidity: 53.30 % | Light: 682
Temp: 30.30 C | Humidity: 53.40 % | Light: 687
Temp: 30.30 C | Humidity: 53.30 % | Light: 681
Temp: 30.20 C | Humidity: 53.30 % | Light: 680
Temp: 30.20 C | Humidity: 53.40 % | Light: 673
Temp: 30.20 C | Humidity: 53.50 % | Light: 683
Temp: 30.20 C | Humidity: 53.50 % | Light: 678
Temp: 30.20 C | Humidity: 53.50 % | Light: 686
Temp: 30.20 C | Humidity: 53.40 % | Light: 683
Temp: 30.20 C | Humidity: 53.30 % | Light: 683
Temp: 30.10 C | Humidity: 53.20 % | Light: 681
Temp: 30.10 C | Humidity: 53.30 % | Light: 684
Temp: 30.10 C | Humidity: 53.90 % | Light: 684
Temp: 30.10 C | Humidity: 54.40 % | Light: 693
Temp: 30.10 C | Humidity: 55.00 % | Light: 713
Temp: 30.10 C | Humidity: 55.10 % | Light: 712
Temp: 30.10 C | Humidity: 54.30 % | Light: 712
Temp: 30.10 C | Humidity: 54.10 % | Light: 712
Temp: 30.00 C | Humidity: 53.90 % | Light: 710
Temp: 30.00 C | Humidity: 54.00 % | Light: 697
Temp: 30.00 C | Humidity: 54.10 % | Light: 696
Temp: 30.00 C | Humidity: 54.00 % | Light: 699
Temp: 30.00 C | Humidity: 54.10 % | Light: 699
Temp: 30.00 C | Humidity: 53.90 % | Light: 693
Temp: 30.00 C | Humidity: 53.70 % | Light: 697
Temp: 30.00 C | Humidity: 53.70 % | Light: 697
Temp: 30.00 C | Humidity: 53.70 % | Light: 696
Temp: 29.90 C | Humidity: 53.50 % | Light: 698
Temp: 29.90 C | Humidity: 53.50 % | Light: 697
Temp: 29.90 C | Humidity: 53.50 % | Light: 698
Temp: 29.90 C | Humidity: 53.50 % | Light: 699
Temp: 29.90 C | Humidity: 53.60 % | Light: 700
Temp: 29.90 C | Humidity: 53.70 % | Light: 701
Temp: 29.90 C | Humidity: 53.80 % | Light: 702
Temp: 29.90 C | Humidity: 53.90 % | Light: 701
Temp: 29.90 C | Humidity: 53.80 % | Light: 690
Temp: 29.90 C | Humidity: 53.80 % | Light: 676
Temp: 29.80 C | Humidity: 53.80 % | Light: 681
Temp: 29.80 C | Humidity: 53.70 % | Light: 689
Temp: 29.80 C | Humidity: 53.70 % | Light: 694
Temp: 29.80 C | Humidity: 53.80 % | Light: 706
Temp: 29.80 C | Humidity: 54.00 % | Light: 713
Temp: 29.80 C | Humidity: 54.20 % | Light: 703
Temp: 29.80 C | Humidity: 54.10 % | Light: 704
Temp: 29.80 C | Humidity: 54.60 % | Light: 709
Temp: 29.80 C | Humidity: 54.60 % | Light: 711
Temp: 29.80 C | Humidity: 54.40 % | Light: 712
Temp: 29.80 C | Humidity: 54.20 % | Light: 712
Temp: 29.80 C | Humidity: 54.10 % | Light: 710
Temp: 29.70 C | Humidity: 54.10 % | Light: 712
Temp: 29.70 C | Humidity: 54.20 % | Light: 712
Temp: 29.70 C | Humidity: 54.30 % | Light: 711
Temp: 29.70 C | Humidity: 54.30 % | Light: 711
Temp: 29.70 C | Humidity: 54.30 % | Light: 711
Temp: 29.70 C | Humidity: 54.30 % | Light: 712
Temp: 29.70 C | Humidity: 54.50 % | Light: 712
Temp: 29.70 C | Humidity: 54.40 % | Light: 712
Temp: 29.70 C | Humidity: 54.40 % | Light: 712
Temp: 29.70 C | Humidity: 54.30 % | Light: 713
Temp: 29.70 C | Humidity: 54.60 % | Light: 712
